month,presale_approved_units,primary_units,secondary_units,instant_saleable_inventory
2016-01,1553,450,1595,34859
2016-02,912,234,1573,35537
2016-03,2632,641,1728,37528
2016-04,967,1294,3200,37201
2016-05,296,1476,3110,36021
2016-06,2053,1538,3082,36536
2016-07,370,1142,3101,35764
2016-08,2595,1628,4193,36731
2016-09,1036,3474,4352,34293
2016-10,1582,2251,4350,33624
2016-11,624,2212,4527,32036
2016-12,2388,453,3097,33971
2017-01,2953,664,2622,36260
2017-02,930,1474,2605,35716
2017-03,474,1435,4421,34755
2017-04,3489,2650,4410,35594
2017-05,695,1275,4457,35014
2017-06,362,2320,3780,33056
2017-07,1387,952,2563,33491
2017-08,3037,1236,2778,35292
2017-09,346,2389,3240,33249
2017-10,1079,1541,3748,32787
2017-11,1433,1416,4278,32804
2017-12,223,1293,4044,31734
2018-01,8,828,4442,30914
2018-02,1956,1168,4314,31702
2018-03,567,738,3525,31531
2018-04,682,2122,4524,30091
2018-05,2044,756,4766,31379
2018-06,1135,2070,4643,30444
2018-07,2416,1753,4338,31107
2018-08,812,1490,3332,30429
2018-09,3751,1252,2248,32928
2018-10,1481,2337,1906,32072
2018-11,4757,720,1915,36109
2018-12,2113,399,1661,37823
2019-01,1171,2191,2352,36803
2019-02,1982,1654,2435,37131
2019-03,727,1468,3763,36390
2019-04,616,2789,5033,34217
2019-05,504,3246,4962,31475
2019-06,1502,1191,3436,31786
2019-07,916,1810,2995,30892
2019-08,2290,1252,2832,31930
2019-09,895,1338,2109,31487
2019-10,1190,1387,2614,31290
2019-11,1191,2112,3644,30369
2019-12,1213,670,2514,30912
2020-01,1455,626,2136,31741
2020-02,1368,1016,2556,32093
2020-03,517,619,3251,31991
2020-04,542,775,3327,31758
2020-05,359,1179,4805,30938
2020-06,413,2195,4792,29156
2020-07,786,1673,4460,28269
2020-08,555,1068,3290,27756
2020-09,2412,808,4216,29360
2020-10,981,1046,3905,29295
2020-11,1900,2201,3869,28994
2020-12,1610,2111,3956,28493
2021-01,247,586,3976,28154
2021-02,1519,1553,4572,28120
2021-03,66,1553,5891,26633
2021-04,1423,1067,6258,26989
2021-05,892,1572,5512,26309
2021-06,1171,1954,5637,25526
2021-07,2843,2052,5527,26317
2021-08,0,708,4838,25609
2021-09,2966,1926,3918,26649
2021-10,1221,1297,3346,26573
2021-11,123,1868,3541,24828
2021-12,2188,1514,3631,25502
2022-01,471,1081,3194,24892
2022-02,0,481,2431,24411
2022-03,740,161,2708,24990
2022-04,2649,258,3639,27381
2022-05,2245,1492,4710,28134
2022-06,4611,1382,3444,31363
2022-07,1620,1177,2494,31806
2022-08,2305,1564,2573,32547
2022-09,1653,1435,2440,32765
2022-10,3828,672,2476,35921
2022-11,0,365,2366,35556
2022-12,956,247,2260,36265
2023-01,1770,363,2688,37672
2023-02,779,655,3627,37796
2023-03,1482,1787,4903,37491
2023-04,256,1550,3033,36197
2023-05,1787,1000,3003,36984
2023-06,906,1019,2594,36871
2023-07,4602,810,2255,40663
2023-08,2998,742,2505,42919
2023-09,1393,964,1898,43348
2023-10,601,356,1767,43593
2023-11,1072,547,2007,44118
2023-12,3612,959,1970,46771
2024-01,1053,1003,2474,46821
2024-02,198,367,2008,46652
2024-03,114,1499,2472,45267
2024-04,696,3636,4915,42327
2024-05,1446,1934,3612,41839
2024-06,0,980,2876,40859
2024-07,135,826,2897,40168
2024-08,40,1154,2500,39054
2024-09,38,521,2327,38571
2024-10,1633,1611,3086,38593
2024-11,5521,2494,3804,41620
2024-12,960,887,3216,41693
2025-01,592,768,2858,41517
2025-02,1273,900,2300,41890
2025-03,884,2229,3138,40545
2025-04,2373,1614,4080,41304
2025-05,0,1676,3429,39628
2025-06,0,2147,3808,37481
2025-07,0,1865,3901,35616
2025-08,1800,1781,3510,35635
2025-09,51,1974,3669,33712
2025-10,860,2025,3689,32547
2025-11,2125,1822,3766,32850
2025-12,887,1739,4144,31998
2026-01,0,1542,4127,30456
2026-02,602,2567,4102,28491
2026-03,46,1443,4873,27094
2026-04,0,2594,4774,24500
2026-05,1356,2410,4728,23446
2026-06,1063,1993,5657,22516
2026-07,507,796,3666,22227
2026-08,0,0,0,22227
2026-09,0,0,0,22227
