month,primary_units,secondary_units
2016-01,450,1595
2016-02,234,1573
2016-03,641,1728
2016-04,1294,3200
2016-05,1476,3110
2016-06,1538,3082
2016-07,1142,3101
2016-08,1628,4193
2016-09,3474,4352
2016-10,2251,4350
2016-11,2212,4527
2016-12,453,3097
2017-01,664,2622
2017-02,1474,2605
2017-03,1435,4421
2017-04,2650,4410
2017-05,1275,4457
2017-06,2320,3780
2017-07,952,2563
2017-08,1236,2778
2017-09,2389,3240
2017-10,1541,3748
2017-11,1416,4278
2017-12,1293,4044
2018-01,828,4442
2018-02,1168,4314
2018-03,738,3525
2018-04,2122,4524
2018-05,756,4766
2018-06,2070,4643
2018-07,1753,4338
2018-08,1490,3332
2018-09,1252,2248
2018-10,2337,1906
2018-11,720,1915
2018-12,399,1661
2019-01,2191,2352
2019-02,1654,2435
2019-03,1468,3763
2019-04,2789,5033
2019-05,3246,4962
2019-06,1191,3436
2019-07,1810,2995
2019-08,1252,2832
2019-09,1338,2109
2019-10,1387,2614
2019-11,2112,3644
2019-12,670,2514
2020-01,626,2136
2020-02,1016,2556
2020-03,619,3251
2020-04,775,3327
2020-05,1179,4805
2020-06,2195,4792
2020-07,1673,4460
2020-08,1068,3290
2020-09,808,4216
2020-10,1046,3905
2020-11,2201,3869
2020-12,2111,3956
2021-01,586,3976
2021-02,1553,4572
2021-03,1553,5891
2021-04,1067,6258
2021-05,1572,5512
2021-06,1954,5637
2021-07,2052,5527
2021-08,708,4838
2021-09,1926,3918
2021-10,1297,3346
2021-11,1868,3541
2021-12,1514,3631
2022-01,1081,3194
2022-02,481,2431
2022-03,161,2708
2022-04,258,3639
2022-05,1492,4710
2022-06,1382,3444
2022-07,1177,2494
2022-08,1564,2573
2022-09,1435,2440
2022-10,672,2476
2022-11,365,2366
2022-12,247,2260
2023-01,363,2688
2023-02,655,3627
2023-03,1787,4903
2023-04,1550,3033
2023-05,1000,3003
2023-06,1019,2594
2023-07,810,2255
2023-08,742,2505
2023-09,964,1898
2023-10,356,1767
2023-11,547,2007
2023-12,959,1970
2024-01,1003,2474
2024-02,367,2008
2024-03,1499,2472
2024-04,3636,4915
2024-05,1934,3612
2024-06,980,2876
2024-07,826,2897
2024-08,1154,2500
2024-09,521,2327
2024-10,1611,3086
2024-11,2494,3804
2024-12,887,3216
2025-01,768,2858
2025-02,900,2300
2025-03,2229,3138
2025-04,1614,4080
2025-05,1676,3429
2025-06,2147,3808
2025-07,1865,3901
2025-08,1781,3510
2025-09,1974,3669
2025-10,2025,3689
2025-11,1822,3766
2025-12,1739,4144
2026-01,1542,4127
2026-02,2567,4102
2026-03,1443,4873
2026-04,2594,4774
2026-05,2410,4728
2026-06,1993,5657
2026-07,796,3666
2026-08,0,0
