month,presale_approved_units
2016-01,1553
2016-02,912
2016-03,2632
2016-04,967
2016-05,296
2016-06,2053
2016-07,370
2016-08,2595
2016-09,1036
2016-10,1582
2016-11,624
2016-12,2388
2017-01,2953
2017-02,930
2017-03,474
2017-04,3489
2017-05,695
2017-06,362
2017-07,1387
2017-08,3037
2017-09,346
2017-10,1079
2017-11,1433
2017-12,223
2018-01,8
2018-02,1956
2018-03,567
2018-04,682
2018-05,2044
2018-06,1135
2018-07,2416
2018-08,812
2018-09,3751
2018-10,1481
2018-11,4757
2018-12,2113
2019-01,1171
2019-02,1982
2019-03,727
2019-04,616
2019-05,504
2019-06,1502
2019-07,916
2019-08,2290
2019-09,895
2019-10,1190
2019-11,1191
2019-12,1213
2020-01,1455
2020-02,1368
2020-03,517
2020-04,542
2020-05,359
2020-06,413
2020-07,786
2020-08,555
2020-09,2412
2020-10,981
2020-11,1900
2020-12,1610
2021-01,247
2021-02,1519
2021-03,66
2021-04,1423
2021-05,892
2021-06,1171
2021-07,2843
2021-08,0
2021-09,2966
2021-10,1221
2021-11,123
2021-12,2188
2022-01,471
2022-02,0
2022-03,740
2022-04,2649
2022-05,2245
2022-06,4611
2022-07,1620
2022-08,2305
2022-09,1653
2022-10,3828
2022-11,0
2022-12,956
2023-01,1770
2023-02,779
2023-03,1482
2023-04,256
2023-05,1787
2023-06,906
2023-07,4602
2023-08,2998
2023-09,1393
2023-10,601
2023-11,1072
2023-12,3612
2024-01,1053
2024-02,198
2024-03,114
2024-04,696
2024-05,1446
2024-06,0
2024-07,135
2024-08,40
2024-09,38
2024-10,1633
2024-11,5521
2024-12,960
2025-01,592
2025-02,1273
2025-03,884
2025-04,2373
2025-05,0
2025-06,0
2025-07,0
2025-08,1800
2025-09,51
2025-10,860
2025-11,2125
2025-12,887
2026-01,0
2026-02,602
2026-03,46
2026-04,0
2026-05,1356
2026-06,1063
2026-07,507
2026-08,0
2026-09,0
