month,pending_units,pending_applications
2016-01,10520,24
2016-02,11169,28
2016-03,9999,26
2016-04,12937,29
2016-05,14526,31
2016-06,13851,32
2016-07,14757,35
2016-08,12617,30
2016-09,14152,31
2016-10,13470,30
2016-11,13312,32
2016-12,12948,31
2017-01,10131,28
2017-02,9503,29
2017-03,9941,31
2017-04,8884,30
2017-05,8189,28
2017-06,9022,28
2017-07,9303,25
2017-08,7339,21
2017-09,10093,22
2017-10,9093,19
2017-11,9243,20
2017-12,12499,24
2018-01,13512,27
2018-02,12692,26
2018-03,14512,27
2018-04,14839,28
2018-05,13413,28
2018-06,12293,27
2018-07,15342,33
2018-08,16810,33
2018-09,15341,28
2018-10,13860,24
2018-11,11407,23
2018-12,10058,23
2019-01,11151,21
2019-02,10753,22
2019-03,10232,24
2019-04,11118,26
2019-05,12033,28
2019-06,10820,26
2019-07,9979,26
2019-08,7695,21
2019-09,8252,24
2019-10,8007,24
2019-11,7475,24
2019-12,6262,22
2020-01,5331,21
2020-02,6777,24
2020-03,7595,24
2020-04,10729,26
2020-05,11998,26
2020-06,14371,30
2020-07,15136,31
2020-08,14619,28
2020-09,12469,24
2020-10,12442,24
2020-11,12755,24
2020-12,11446,22
2021-01,11199,21
2021-02,11859,21
2021-03,12533,22
2021-04,13602,22
2021-05,12972,22
2021-06,12639,23
2021-07,9796,18
2021-08,10056,20
2021-09,9284,21
2021-10,14662,29
2021-11,16011,30
2021-12,17570,33
2022-01,24193,44
2022-02,23590,43
2022-03,24834,46
2022-04,23006,44
2022-05,24605,46
2022-06,20688,41
2022-07,20222,41
2022-08,20578,42
2022-09,20885,43
2022-10,18084,38
2022-11,20579,42
2022-12,21568,46
2023-01,19843,44
2023-02,19486,43
2023-03,18699,42
2023-04,22505,45
2023-05,22747,45
2023-06,21840,44
2023-07,17832,37
2023-08,16195,36
2023-09,14845,35
2023-10,14219,32
2023-11,13447,30
2023-12,10345,23
2024-01,7717,19
2024-02,9229,21
2024-03,14019,25
2024-04,16926,30
2024-05,12812,27
2024-06,13578,30
2024-07,13443,28
2024-08,13643,28
2024-09,17642,31
2024-10,17915,30
2024-11,12350,20
2024-12,8527,19
2025-01,8922,22
2025-02,7862,22
2025-03,7090,21
2025-04,6517,17
2025-05,6517,17
2025-06,7162,18
2025-07,8388,24
2025-08,8047,27
2025-09,8902,29
2025-10,8746,27
2025-11,7187,25
2025-12,6856,23
2026-01,8195,26
2026-02,9736,29
2026-03,9954,29
2026-04,10620,31
2026-05,9786,28
2026-06,11995,28
2026-07,13734,32
2026-08,12980,30
