devId,month,sold,terminated,amount_m
10005,2024-06,14.0,0.0,79.0
10005,2024-07,1.0,0.0,5.5
10005,2024-08,2.0,0.0,12.0
10005,2024-09,5.0,0.0,27.6
10005,2024-10,13.0,0.0,73.0
10005,2024-11,8.0,0.0,47.4
10005,2024-12,7.0,0.0,36.1
10005,2025-01,5.0,0.0,25.7
10005,2025-02,16.0,0.0,89.3
10005,2025-03,14.0,0.0,79.5
10005,2025-04,11.0,0.0,67.1
10005,2025-05,14.0,0.0,78.4
10005,2025-06,27.0,0.0,156.9
10005,2025-07,11.0,0.0,60.9
10005,2025-08,40.0,0.0,217.2
10005,2025-09,52.0,0.0,297.9
10005,2025-10,39.0,0.0,228.6
10005,2025-11,54.0,0.0,313.2
10005,2025-12,44.0,0.0,267.9
10005,2026-01,48.0,0.0,311.9
10005,2026-02,11.0,0.0,84.7
10005,2026-03,9.0,0.0,67.5
10005,2026-04,4.0,0.0,31.1
10005,2026-05,2.0,0.0,16.5
10025,2024-07,178.0,0.0,1239.9
10025,2024-08,12.0,0.0,94.1
10025,2024-09,3.0,0.0,26.4
10025,2024-10,20.0,0.0,175.1
10025,2024-11,1.0,0.0,7.3
10025,2024-12,2.0,0.0,15.4
10025,2025-01,0.0,1.0,0.0
10025,2025-02,3.0,0.0,20.7
10025,2025-03,1.0,0.0,8.2
10025,2025-05,7.0,0.0,48.4
10025,2025-06,7.0,0.0,56.2
10025,2025-07,6.0,0.0,50.8
10025,2025-08,14.0,0.0,113.7
10025,2025-09,1.0,0.0,7.9
10025,2025-10,2.0,0.0,16.9
10025,2025-11,4.0,0.0,42.6
10025,2026-01,1.0,0.0,13.0
10025,2026-02,1.0,0.0,11.5
10025,2026-04,1.0,9.0,8.5
10025,2026-05,2.0,0.0,23.7
10025,2026-06,2.0,0.0,19.3
10025,2026-07,2.0,0.0,17.9
10025,2026-08,3.0,0.0,39.2
10045,2024-06,204.0,0.0,1042.5
10045,2024-07,52.0,0.0,257.2
10045,2024-08,53.0,0.0,252.0
10045,2024-09,69.0,0.0,314.1
10045,2024-10,89.0,0.0,414.5
10045,2024-11,59.0,0.0,328.3
10045,2024-12,55.0,0.0,300.7
10045,2025-01,17.0,0.0,107.2
10045,2025-02,18.0,0.0,112.1
10045,2025-03,35.0,0.0,208.6
10045,2025-07,11.0,0.0,63.8
10045,2025-08,38.0,0.0,205.3
10045,2025-09,1.0,0.0,7.3
10045,2025-10,5.0,0.0,32.8
10045,2025-11,4.0,0.0,28.4
10045,2025-12,2.0,0.0,14.9
10045,2026-01,4.0,0.0,30.7
10045,2026-02,7.0,0.0,53.4
10045,2026-03,8.0,0.0,61.5
10045,2026-04,7.0,0.0,58.3
10045,2026-06,2.0,0.0,14.9
10045,2026-07,1.0,0.0,6.2
10045,2026-09,1.0,0.0,8.6
10066,2025-02,2.0,0.0,12.3
10066,2025-08,85.0,0.0,561.0
10066,2025-09,40.0,0.0,232.3
10066,2026-09,29.0,0.0,178.5
10067,2024-07,310.0,0.0,1045.8
10067,2024-08,26.0,0.0,94.3
10067,2024-09,7.0,0.0,30.7
10067,2024-10,58.0,0.0,215.2
10067,2024-11,29.0,0.0,88.1
10067,2024-12,8.0,0.0,32.6
10067,2025-01,1.0,0.0,4.4
10067,2025-02,13.0,0.0,46.8
10067,2025-03,31.0,0.0,104.0
10067,2025-04,22.0,0.0,85.1
10067,2025-05,15.0,0.0,61.8
10067,2025-06,2.0,0.0,10.0
10067,2025-07,5.0,0.0,25.6
10067,2025-08,1.0,0.0,6.1
10067,2025-09,2.0,0.0,12.5
10067,2025-10,3.0,0.0,14.0
10067,2025-11,2.0,0.0,11.3
10067,2025-12,2.0,0.0,14.0
10067,2026-01,2.0,0.0,11.2
10067,2026-02,1.0,0.0,5.8
10067,2026-03,20.0,2.0,135.8
10067,2026-04,27.0,3.0,180.2
10067,2026-05,29.0,2.0,153.7
10067,2026-06,1.0,0.0,7.5
10067,2026-07,1.0,0.0,6.6
10067,2026-08,2.0,0.0,10.3
10067,2026-09,2.0,0.0,15.5
10105,2024-07,78.0,0.0,513.8
10105,2024-08,33.0,0.0,221.7
10105,2024-09,16.0,0.0,102.4
10105,2024-10,44.0,1.0,287.3
10105,2024-11,4.0,0.0,42.9
10105,2025-01,1.0,1.0,4.8
10105,2025-02,2.0,1.0,9.4
10105,2025-03,4.0,0.0,49.0
10105,2025-04,2.0,0.0,19.6
10105,2025-05,1.0,0.0,17.0
10105,2025-08,9.0,0.0,88.3
10105,2025-09,5.0,0.0,42.5
10105,2025-10,8.0,0.0,67.7
10105,2025-12,2.0,0.0,27.2
10105,2026-01,9.0,0.0,104.9
10105,2026-02,5.0,0.0,51.2
10105,2026-03,1.0,0.0,17.6
10105,2026-04,0.0,7.0,0.0
10105,2026-05,4.0,0.0,54.9
10105,2026-06,3.0,0.0,17.5
10105,2026-07,1.0,0.0,8.4
10105,2026-09,1.0,0.0,9.1
10125,2026-07,1.0,0.0,56.5
10165,2024-10,84.0,0.0,505.5
10165,2024-11,8.0,0.0,53.0
10165,2024-12,14.0,0.0,90.2
10165,2025-01,5.0,0.0,34.5
10165,2025-02,6.0,0.0,42.0
10165,2025-03,11.0,0.0,76.6
10165,2025-04,12.0,0.0,82.2
10165,2025-05,11.0,0.0,75.2
10165,2025-06,5.0,0.0,34.1
10165,2025-07,15.0,0.0,104.9
10165,2025-08,29.0,0.0,202.8
10165,2025-09,29.0,0.0,200.8
10165,2025-10,53.0,0.0,390.0
10165,2025-11,24.0,0.0,190.6
10165,2025-12,15.0,0.0,116.2
10165,2026-01,46.0,0.0,333.9
10165,2026-02,36.0,0.0,283.5
10165,2026-03,17.0,0.0,141.5
10165,2026-04,3.0,4.0,22.4
10165,2026-05,12.0,0.0,108.8
10165,2026-06,12.0,0.0,107.1
10165,2026-07,12.0,0.0,98.3
10165,2026-08,5.0,0.0,43.8
10165,2026-09,3.0,0.0,24.4
10185,2025-06,1.0,0.0,23.9
10185,2025-08,2.0,0.0,38.5
10185,2025-09,1.0,0.0,27.1
10185,2025-11,3.0,0.0,53.5
10185,2025-12,4.0,0.0,93.9
10185,2026-01,2.0,0.0,33.0
10185,2026-02,3.0,0.0,58.7
10185,2026-04,1.0,0.0,19.1
10185,2026-06,2.0,0.0,49.1
10185,2026-07,2.0,0.0,38.3
10205,2024-09,1.0,0.0,7.5
10205,2024-10,15.0,0.0,169.1
10205,2024-11,11.0,0.0,112.7
10205,2024-12,8.0,0.0,120.2
10205,2025-01,1.0,0.0,16.3
10205,2025-02,4.0,0.0,59.8
10205,2025-03,5.0,0.0,71.3
10205,2025-05,1.0,0.0,20.6
10205,2025-06,1.0,0.0,18.4
10205,2025-07,2.0,0.0,30.1
10205,2025-08,3.0,0.0,45.9
10205,2025-09,1.0,0.0,13.6
10205,2025-10,1.0,0.0,10.2
10205,2025-11,5.0,0.0,80.6
10205,2025-12,4.0,0.0,54.4
10205,2026-01,3.0,0.0,44.1
10205,2026-02,1.0,0.0,10.6
10205,2026-03,3.0,0.0,56.5
10205,2026-04,2.0,0.0,33.3
10205,2026-05,2.0,0.0,53.5
10205,2026-09,1.0,0.0,12.5
10225,2024-10,104.0,0.0,310.7
10225,2024-11,1.0,0.0,4.5
10225,2024-12,1.0,0.0,4.6
10225,2025-02,1.0,1.0,2.7
10225,2025-03,2.0,1.0,6.2
10225,2025-05,5.0,0.0,24.1
10245,2025-01,4.0,0.0,18.7
10245,2025-09,14.0,0.0,62.3
10265,2025-12,2.0,0.0,0.0
10285,2025-12,1.0,0.0,150.0
10285,2026-03,1.0,0.0,128.0
10285,2026-05,7.0,0.0,421.0
10285,2026-08,1.0,0.0,148.8
10286,2024-11,38.0,0.0,326.5
10286,2024-12,42.0,0.0,306.5
10286,2025-01,12.0,0.0,85.4
10286,2025-02,13.0,0.0,108.3
10286,2025-03,17.0,0.0,130.8
10286,2025-04,12.0,0.0,100.1
10286,2025-05,11.0,1.0,99.0
10286,2025-06,20.0,0.0,135.7
10286,2025-07,13.0,0.0,100.0
10286,2025-08,17.0,0.0,125.8
10286,2025-09,24.0,0.0,152.1
10286,2025-10,10.0,0.0,64.5
10286,2025-11,12.0,0.0,74.3
10286,2025-12,26.0,0.0,174.3
10286,2026-01,12.0,0.0,88.1
10286,2026-02,8.0,0.0,78.1
10286,2026-03,15.0,0.0,151.5
10286,2026-04,23.0,0.0,203.0
10286,2026-05,14.0,0.0,143.2
10286,2026-06,6.0,0.0,59.4
10286,2026-07,1.0,0.0,9.4
10286,2026-08,1.0,0.0,9.8
10286,2026-09,1.0,0.0,10.0
10325,2025-09,91.0,0.0,781.2
10325,2025-10,3.0,0.0,25.0
10325,2025-11,6.0,0.0,57.0
10325,2025-12,3.0,0.0,23.6
10325,2026-02,29.0,0.0,251.0
10325,2026-03,66.0,0.0,584.9
10325,2026-04,34.0,0.0,308.1
10325,2026-05,42.0,0.0,382.9
10325,2026-06,65.0,0.0,605.2
10325,2026-07,15.0,0.0,150.8
10325,2026-08,43.0,0.0,446.1
10325,2026-09,2.0,0.0,24.0
10345,2026-03,250.0,0.0,1063.9
10345,2026-04,53.0,0.0,216.1
10345,2026-05,26.0,0.0,104.0
10345,2026-06,17.0,0.0,72.6
10345,2026-07,3.0,0.0,13.4
10345,2026-08,5.0,0.0,21.8
10365,2025-09,1.0,0.0,550.0
10366,2024-11,103.0,0.0,839.7
10366,2024-12,10.0,0.0,82.8
10366,2025-01,3.0,0.0,27.9
10366,2025-02,4.0,0.0,49.3
10366,2025-03,5.0,0.0,80.3
10366,2025-04,5.0,0.0,51.3
10366,2025-05,1.0,0.0,13.3
10366,2025-06,8.0,0.0,77.5
10366,2025-07,9.0,0.0,105.6
10366,2025-08,5.0,0.0,47.6
10366,2025-09,12.0,0.0,128.8
10366,2025-10,15.0,0.0,164.8
10366,2025-11,10.0,0.0,117.6
10366,2025-12,11.0,0.0,128.5
10366,2026-01,13.0,2.0,185.9
10366,2026-02,5.0,0.0,69.0
10366,2026-03,8.0,1.0,104.9
10366,2026-04,12.0,0.0,203.4
10366,2026-05,3.0,0.0,82.7
10366,2026-06,3.0,0.0,70.8
10366,2026-09,4.0,0.0,114.9
10367,2025-01,3.0,0.0,93.7
10367,2025-05,1.0,0.0,32.3
10367,2025-08,12.0,0.0,181.9
10367,2025-09,8.0,0.0,153.7
10367,2025-10,4.0,0.0,135.1
10367,2025-11,10.0,0.0,188.9
10367,2025-12,14.0,1.0,374.7
10367,2026-01,16.0,0.0,351.0
10367,2026-02,8.0,0.0,215.8
10367,2026-03,15.0,0.0,341.3
10367,2026-04,9.0,0.0,303.3
10367,2026-05,21.0,1.0,415.9
10367,2026-06,5.0,0.0,148.9
10367,2026-07,2.0,0.0,59.8
10367,2026-08,3.0,0.0,154.5
10367,2026-09,2.0,0.0,100.8
10385,2024-11,6.0,0.0,165.7
10385,2024-12,5.0,0.0,177.3
10385,2025-01,4.0,0.0,111.0
10385,2025-02,1.0,0.0,28.5
10385,2025-03,1.0,0.0,31.4
10385,2025-04,4.0,0.0,112.4
10385,2025-05,3.0,0.0,32.3
10385,2025-06,8.0,0.0,117.7
10385,2025-07,7.0,0.0,87.4
10385,2025-08,6.0,0.0,126.7
10385,2025-09,8.0,0.0,145.8
10385,2025-10,6.0,0.0,100.0
10385,2025-11,3.0,0.0,63.4
10385,2025-12,1.0,0.0,25.8
10385,2026-01,4.0,0.0,90.4
10385,2026-03,1.0,0.0,24.6
10385,2026-04,1.0,0.0,25.8
10385,2026-05,1.0,1.0,22.9
10405,2025-03,3.0,0.0,122.2
10405,2025-04,1.0,0.0,40.0
10405,2025-06,1.0,0.0,43.0
10405,2026-01,6.0,0.0,253.9
10405,2026-02,2.0,0.0,86.6
10405,2026-03,1.0,0.0,44.5
10405,2026-05,2.0,0.0,99.5
10405,2026-06,1.0,0.0,48.7
10405,2026-08,1.0,0.0,51.3
10425,2025-03,334.0,0.0,1639.5
10425,2025-10,0.0,2.0,0.0
10425,2025-12,1.0,0.0,10.0
10425,2026-01,3.0,0.0,33.0
10426,2025-03,76.0,0.0,341.9
10426,2025-04,25.0,0.0,107.3
10426,2025-05,44.0,0.0,186.9
10426,2025-06,97.0,0.0,418.6
10426,2025-07,89.0,0.0,393.9
10426,2025-08,17.0,0.0,100.6
10426,2025-09,37.0,0.0,183.1
10426,2025-10,19.0,0.0,104.5
10426,2025-11,15.0,4.0,90.1
10426,2025-12,24.0,0.0,147.0
10426,2026-01,49.0,0.0,280.7
10426,2026-03,5.0,0.0,42.2
10426,2026-04,1.0,0.0,6.4
10426,2026-05,5.0,0.0,31.5
10426,2026-06,2.0,0.0,12.9
10426,2026-07,1.0,0.0,6.1
10426,2026-09,2.0,0.0,14.4
10445,2025-01,13.0,0.0,504.1
10445,2025-02,269.0,0.0,2693.1
10445,2025-03,25.0,0.0,248.1
10445,2025-04,12.0,0.0,148.1
10445,2025-05,7.0,0.0,56.0
10445,2025-06,5.0,0.0,47.0
10445,2025-07,4.0,0.0,59.2
10445,2025-08,1.0,0.0,11.5
10445,2025-09,7.0,0.0,67.3
10445,2025-10,15.0,0.0,151.9
10445,2025-11,11.0,0.0,101.9
10445,2025-12,23.0,0.0,182.5
10445,2026-03,1.0,1.0,7.0
10465,2025-01,234.0,0.0,836.8
10465,2025-02,77.0,0.0,307.9
10465,2025-03,29.0,0.0,134.3
10465,2025-04,11.0,0.0,54.9
10465,2025-05,18.0,0.0,99.5
10465,2025-06,7.0,0.0,27.1
10465,2025-07,12.0,0.0,72.7
10465,2025-08,10.0,0.0,83.7
10465,2025-09,9.0,0.0,53.1
10465,2025-10,39.0,0.0,229.9
10465,2025-11,64.0,0.0,434.7
10465,2025-12,21.0,0.0,141.0
10465,2026-01,19.0,0.0,155.9
10465,2026-02,3.0,0.0,22.0
10465,2026-03,7.0,1.0,41.2
10465,2026-04,5.0,2.0,32.0
10465,2026-05,4.0,1.0,27.9
10465,2026-06,2.0,0.0,20.0
10465,2026-07,1.0,0.0,6.9
10465,2026-08,1.0,0.0,7.4
10465,2026-09,0.0,1.0,0.0
10485,2025-02,245.0,0.0,946.5
10485,2025-03,200.0,0.0,926.8
10485,2025-04,12.0,0.0,73.3
10485,2025-05,10.0,0.0,54.3
10485,2025-06,1.0,0.0,5.2
10485,2025-07,5.0,0.0,26.5
10485,2025-08,6.0,0.0,34.7
10485,2025-09,6.0,0.0,32.1
10485,2025-10,50.0,0.0,251.6
10485,2025-11,13.0,0.0,67.6
10485,2025-12,9.0,0.0,44.5
10485,2026-01,16.0,4.0,90.6
10485,2026-02,7.0,2.0,47.7
10485,2026-03,3.0,0.0,24.6
10485,2026-04,7.0,0.0,53.2
10485,2026-05,3.0,0.0,37.9
10485,2026-08,2.0,0.0,27.7
10486,2025-01,28.0,0.0,183.4
10486,2025-02,25.0,0.0,150.7
10486,2025-03,52.0,0.0,312.0
10486,2025-04,33.0,0.0,185.4
10486,2025-05,44.0,0.0,277.8
10486,2025-06,41.0,0.0,259.8
10486,2025-07,33.0,0.0,215.2
10486,2025-08,13.0,0.0,90.6
10486,2025-09,50.0,0.0,326.3
10486,2025-10,114.0,0.0,729.7
10486,2025-11,102.0,0.0,706.0
10486,2025-12,72.0,0.0,541.1
10486,2026-01,19.0,0.0,129.4
10486,2026-06,3.0,3.0,21.1
10486,2026-07,4.0,0.0,28.2
10486,2026-08,1.0,0.0,5.9
10505,2025-03,1.0,0.0,62.4
10505,2025-11,2.0,0.0,31.6
10505,2025-12,3.0,0.0,70.0
10505,2026-01,1.0,0.0,26.0
10505,2026-02,3.0,0.0,64.3
10505,2026-07,1.0,0.0,15.2
10505,2026-08,2.0,0.0,116.3
10525,2025-11,446.0,0.0,1741.1
10525,2025-12,199.0,0.0,588.2
10526,2025-11,177.0,0.0,859.1
10526,2025-12,787.0,0.0,3206.4
10526,2026-01,6.0,0.0,29.2
10545,2025-03,241.0,0.0,1246.7
10545,2025-04,5.0,0.0,23.3
10545,2025-05,2.0,0.0,10.3
10545,2025-06,2.0,0.0,15.2
10545,2025-07,1.0,0.0,5.9
10545,2025-08,1.0,0.0,8.1
10545,2025-09,1.0,0.0,5.6
10545,2025-10,5.0,0.0,37.3
10545,2026-03,6.0,0.0,38.7
10545,2026-04,15.0,0.0,108.1
10545,2026-05,3.0,0.0,19.2
10545,2026-06,6.0,1.0,35.4
10545,2026-07,5.0,0.0,33.9
10545,2026-08,1.0,0.0,6.7
10545,2026-09,1.0,0.0,6.6
10565,2025-02,61.0,0.0,391.7
10565,2025-03,39.0,0.0,242.1
10565,2025-04,12.0,0.0,81.7
10565,2025-05,29.0,0.0,186.6
10565,2025-06,33.0,0.0,224.8
10565,2025-07,19.0,0.0,145.2
10565,2025-08,13.0,0.0,79.9
10565,2025-09,6.0,0.0,27.0
10565,2025-10,20.0,0.0,91.7
10565,2025-11,7.0,0.0,32.0
10565,2025-12,4.0,0.0,20.4
10565,2026-01,3.0,0.0,14.3
10565,2026-02,1.0,0.0,4.9
10565,2026-03,2.0,0.0,9.5
10565,2026-04,1.0,0.0,7.8
10585,2025-03,501.0,0.0,2684.4
10585,2025-04,5.0,0.0,44.0
10585,2025-05,3.0,0.0,21.0
10605,2025-11,149.0,0.0,835.1
10605,2025-12,141.0,0.0,828.9
10605,2026-01,98.0,0.0,572.5
10605,2026-02,42.0,0.0,261.1
10605,2026-03,14.0,0.0,96.4
10605,2026-04,7.0,0.0,53.8
10605,2026-05,11.0,0.0,72.1
10605,2026-06,2.0,0.0,14.9
10605,2026-07,1.0,0.0,7.0
10605,2026-08,3.0,0.0,21.2
10625,2025-05,63.0,0.0,7863.5
10625,2025-09,0.0,10.0,0.0
10626,2025-05,9.0,0.0,1994.3
10626,2025-09,0.0,5.0,0.0
10627,2025-05,46.0,0.0,4079.8
10665,2025-08,46.0,0.0,947.0
10665,2025-09,17.0,0.0,354.3
10665,2025-10,3.0,0.0,70.6
10665,2025-11,2.0,0.0,24.0
10665,2026-03,2.0,0.0,66.9
10665,2026-06,1.0,0.0,78.1
10666,2025-09,154.0,0.0,671.4
10666,2026-04,0.0,1.0,0.0
10666,2026-09,22.0,0.0,90.9
10667,2025-05,65.0,0.0,343.6
10667,2025-06,33.0,0.0,168.6
10667,2025-07,1.0,0.0,5.9
10667,2025-08,6.0,0.0,36.7
10667,2025-09,4.0,0.0,21.4
10667,2025-10,12.0,0.0,63.8
10667,2025-11,3.0,0.0,15.1
10667,2025-12,5.0,0.0,28.2
10667,2026-01,10.0,0.0,52.4
10667,2026-02,14.0,0.0,78.2
10667,2026-03,10.0,0.0,64.0
10667,2026-04,4.0,0.0,22.1
10667,2026-05,2.0,0.0,12.1
10667,2026-06,3.0,0.0,17.8
10667,2026-07,2.0,0.0,13.8
10667,2026-09,17.0,0.0,114.7
10685,2025-04,327.0,0.0,1756.3
10685,2025-05,444.0,0.0,2547.8
10685,2025-06,1.0,0.0,22.3
10685,2026-06,1.0,1.0,10.5
10705,2026-06,1.0,0.0,321.8
10706,2025-05,24.0,0.0,1342.6
10706,2025-06,323.0,0.0,5121.7
10706,2025-07,35.0,0.0,918.2
10706,2025-08,16.0,1.0,416.2
10706,2025-09,13.0,0.0,307.2
10706,2025-10,5.0,0.0,165.6
10706,2025-11,3.0,0.0,119.5
10706,2025-12,2.0,0.0,48.4
10706,2026-01,2.0,0.0,193.5
10706,2026-02,3.0,0.0,63.6
10706,2026-03,2.0,0.0,31.2
10706,2026-04,3.0,0.0,70.3
10706,2026-05,1.0,0.0,15.3
10707,2025-07,119.0,0.0,1405.5
10707,2025-08,58.0,0.0,761.8
10707,2025-09,60.0,0.0,754.0
10707,2025-10,16.0,0.0,275.4
10707,2025-11,20.0,0.0,330.2
10707,2025-12,14.0,0.0,216.3
10707,2026-01,41.0,0.0,654.0
10707,2026-02,22.0,0.0,396.4
10707,2026-03,6.0,0.0,214.5
10707,2026-04,1.0,0.0,48.7
10707,2026-05,4.0,0.0,105.0
10725,2025-05,759.0,0.0,4215.1
10725,2025-06,6.0,0.0,54.6
10725,2025-07,3.0,0.0,23.4
10725,2026-01,1.0,0.0,32.8
10745,2025-07,75.0,0.0,523.2
10745,2025-09,1.0,0.0,11.3
10765,2025-07,409.0,0.0,2136.9
10765,2025-08,17.0,0.0,114.4
10765,2025-09,3.0,0.0,17.9
10765,2025-10,10.0,0.0,80.8
10765,2025-11,13.0,0.0,103.7
10765,2025-12,16.0,0.0,129.5
10765,2026-01,14.0,0.0,110.1
10765,2026-02,6.0,0.0,53.0
10765,2026-03,12.0,0.0,98.0
10765,2026-04,1.0,0.0,12.3
10765,2026-06,1.0,0.0,9.0
10765,2026-08,1.0,0.0,30.6
10785,2025-09,111.0,0.0,2231.0
10785,2025-10,4.0,0.0,193.1
10785,2025-11,1.0,0.0,58.5
10825,2025-08,1.0,0.0,90.0
10845,2025-07,40.0,0.0,178.9
10845,2025-08,20.0,0.0,89.0
10845,2025-09,12.0,0.0,50.0
10845,2025-10,1.0,0.0,4.2
10845,2025-11,1.0,0.0,5.3
10845,2025-12,3.0,0.0,15.2
