pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2025-05-09,2025-05-09,,Tower 1 第1座,1,A,,213400000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,,Tower 1 第1座,2,A,,214500000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,,Tower 1 第1座,3,A,,215600000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,,Tower 1 第1座,5,A,,217800000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,,Tower 1 第1座,6,A,,219000000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,,Tower 1 第1座,7,A,,220100000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,,Tower 1 第1座,8,A,,221200000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,2025-09-19,Tower 1 第1座,9,A,,228900000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,2025-09-19,Tower 1 第1座,10,A,,230100000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,2025-09-19,Tower 1 第1座,11,A,,231200000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,2025-09-19,Tower 1 第1座,12,A,,232400000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,,Tower 1 第1座,15,A,,235800000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,,Tower 1 第1座,16,A,,236900000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
2025-05-09,2025-05-09,2025-09-19,Tower 1 第1座,17,A,,264100000,,- 成交金額的5%即臨時訂金於簽署臨時買賣合約時繳付； 5% of the Transaction Price being preliminary deposit paid on signing of PASP; - 成交金額的95%即成交金額餘額須於成交日期或之前付清。 95% of the Transaction Price being balance of Transaction Price shall be paid on or before the date of completion.,✓
