pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2016-10-18,2016-11-01,,藍塘道39號 No. 39 Blue Pool Road,,A,,288300000,,"90日付款計劃 90-day Payment Plan (a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的5%，為進一步訂金，於簽署正式合約時支付； 5% of the Purchase Price,being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的90%，為樓價的餘款，須於接受通知書(如投標文件所示)發出日期起計的90天屆滿的首個工作天當天或之前支付。 90% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before the working day falling on the expiry of 90 days from the date of the Notice of Acceptance (as defined in Tender Documents). 印花稅現金回贈 (參見投標文件附件1) Stamp Duty Cash Rebate (please refer to Annex 1 of Tender Documents) 付款期現金回贈 (參見投標文件附件1) Payment Plan Cash Rebate (please refer to Annex 1 of Tender Documents)",
2016-11-15,2016-11-25,,藍塘道25號 No. 25 Blue Pool Road,,A,,301800000,,"90日付款計劃 90-day Payment Plan (a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的5%，為進一步訂金，於簽署正式合約時支付； 5% of the Purchase Price,being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的90%，為樓價的餘款，須於接受通知書(如投標文件所示)發出日期起計的90天屆滿的首個工作天當天或之前支付。 90% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before the working day falling on the expiry of 90 days from the date of the Notice of Acceptance (as defined in Tender Documents). 印花稅現金回贈 (參見投標文件附件1) Stamp Duty Cash Rebate (please refer to Annex 1 of Tender Documents) 付款期現金回贈 (參見投標文件附件1) Payment Plan Cash Rebate (please refer to Annex 1 of Tender Documents)",
2017-08-09,2017-08-21,,藍塘道37號 No. 37 Blue Pool Road,,B,,303800000,,"(a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的5%，為進一步訂金，於簽署正式合約時支付； 5% of the Purchase Price,being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的90%，為樓價的餘款，須於2018年2月28日或之前支付。(如投標文件所示) 90% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before 28 February 2018. (as defined in Tender Documents). 印花稅現金回贈 (參見投標文件附件1) Stamp Duty Cash Rebate (please refer to Annex 1 of Tender Documents)",
2017-12-27,2018-01-09,,藍塘道27號 No. 27 Blue Pool Road,,A,,305800000,,"12個月的付款計劃 12-Month Payment Plan (a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的5%，為進一步訂金，於簽署正式合約時支付； 5% of the Purchase Price,being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的90%，為樓價的餘款，須於接受通知書(如投標文件所示) 發出日起計12個月屆滿前支付。 90% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before the expiry of 12 months from the date of the Notice of Acceptance (as defined in Tender Documents). 印花稅現金回贈 (參見投標文件附件1) Stamp Duty Cash Rebate (please refer to Annex 1 of Tender Documents)",
2017-12-27,2018-01-09,,藍塘道27號 No. 27 Blue Pool Road,,B,,338200000,,"6個月的付款計劃 6-Month Payment Plan (a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的5%，為進一步訂金，於簽署正式合約時支付； 5% of the Purchase Price,being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的90%，為樓價的餘款，須於接受通知書(如投標文件所示) 發出日起計6個月屆滿前支付。 90% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before the expiry of 6 months from the date of the Notice of Acceptance (as defined in Tender Documents). 印花稅現金回贈 (參見投標文件附件1) Stamp Duty Cash Rebate (please refer to Annex 1 of Tender Documents) 家具清單列於投標文件的「裝置、裝修物料及設備」內。 A list of furniture is included under the “Fittings, Finishes and Appliances” of the Tender Documents.",
2018-03-20,2018-04-03,,藍塘道29號 No. 29 Blue Pool Road,,A,,328000000,,"90日付款計劃 90-day Payment Plan (a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的5%，為進一步訂金，於簽署正式合約時支付； 5% of the Purchase Price,being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的90%，為樓價的餘款，須於接受通知書(如投標文件所示)發出日期起計的90天屆滿的首個工作天當天或之前支付。 90% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before the working day falling on the expiry of 90 days from the date of the Notice of Acceptance (as defined in Tender Documents). 印花稅現金回贈 (參見投標文件附件1) Stamp Duty Cash Rebate (please refer to Annex 1 of Tender Documents)",
2019-03-20,2019-04-01,,藍塘道37號 No. 37 Blue Pool Road,,A,,338200000,,"1080天特長成交期計劃 1080-Day Long Completion Plan (a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的10%，為進一步訂金，於簽署正式合約時支付； 10% of the Purchase Price,being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的85%，為樓價的餘款，須於接受通知書(如投標文件所示)發出日期起計的1080天屆滿的首個工作天當天或之前支付。 85% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before the working day falling on the expiry of 1080 days from the date of the Notice of Acceptance (as defined in Tender Documents). 印花稅現金回贈 (參見投標文件附件1 Part A) Stamp Duty Cash Rebate (please refer to Part A of Annex 1 of Tender Documents) 提前成交現金回贈 (參見投標文件附件1 Part B) Early Completion Cash Rebate (please refer to Part B of Annex 1 of Tender Documents)",
2021-06-21,2021-07-02,,藍塘道39號 No. 39 Blue Pool Road,,B,,339800000,,"270天成交期計劃 270-Day Completion Plan (a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的5%，為進一步訂金，於簽署正式合約時支付； 5% of the Purchase Price, being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的90%，為樓價的餘款，須於接受通知書(如投標文件所示)發出日期起計的270天屆滿的首個工作天當天或之前支付。 90% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before the working day falling on the expiry of 270 days from the date of the Notice of Acceptance (as defined in Tender Documents). 相等於樓價4.25%的印花稅現金回贈 Stamp Duty Cash Rebate (equivalent to 4.25% of the Purchase Price) 提前成交現金回贈 Early Completion Cash Rebate 物 業 的 成 交 日 期 「 提 前 成 交 現 金 回 贈 」 金 額 Date of com pletion of the sale and purchase of the Property ""Early Com pletion Cash Rebate"" Am ount 接 受 通 知 書 發 出 日 期 後 日 內 240 樓 價 2.85% W ithin 240 days after the date of the Notice of Acceptance 2.85% of Purchase Price 接 受 通 知 書 發 出 日 期 後 日 至 日 內 241 270 樓 價 0.35% W ithin 241 days – 270 days after the date of the Notice of 0.35% of Purchase Price Acceptance 於買賣完成時物業內之傢俱與物件 Furniture and chattels displayed at the Property on completion of the sale and purchase",
2024-01-08,2024-01-18,,藍塘道33號 No. 33 Blue Pool Road,,B,,230000000,,"(a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的15%，為進一步訂金，於簽署正式合約時支付； 15% of the Purchase Price, being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的80%，為樓價的餘款，須於2024年3月26日或之前支付。 80% of the Purchase Price, being the balance of the Purchase Price shall be paid on or before 26 March 2024. 相等於樓價7.5%的印花稅現金回贈 Stamp Duty Cash Rebate (equivalent to 7.5% of the Purchase Price) 相等於樓價5.5%的成交現金回贈 Completion Cash Rebate (equivalent to 5.5% of the Purchase Price) 港幣$100,000的渣甸山畔現金回贈 Jardine's Lookout Cash Rebate at HK$100,000",
2024-05-08,2024-05-21,,藍塘道29號 No. 29 Blue Pool Road,,B,,250000000,,"(a) 樓價的5%，為臨時訂金，於賣方接受投標時支付； 5% of the Purchase Price, being preliminary deposit shall be paid upon the Vendor's acceptance of the Tender; (b) 樓價的15%，為進一步訂金，於簽署正式合約時支付； 15% of the Purchase Price, being further deposit shall be paid upon signing of the Formal Agreement; (c) 樓價的80%，為樓價的餘款，須於接受通知書(如投標文件所示)發出日期起計的120天内支付。 80% of the Purchase Price, being the balance of the Purchase Price shall be paid within 120 days from the date of the Letter of Acceptance (as defined in Tender Documents). 相等於樓價4.25%的印花稅現金回贈 Stamp Duty Cash Rebate (equivalent to 4.25% of the Purchase Price) 相等於樓價3.75%的渣甸山畔現金回贈 Jardine's Lookout Cash Rebate (equivalent to 3.75% of the Purchase Price) 管理費及室内電梯保養費用優惠 賣方會替買方支付該物業買賣完成後30個月的管理費及室内電梯保養費用。 Management Fees and Lift Maintenance Fees Benefit The Vendor will pay for and on behalf of the Purchaser the management fees and the lift maintenance fees of the Property as purchased for 30 consecutive months after completion of the purchase of the Property by the Purchaser. 於買賣完成時物業內之傢俱與物件 Furniture and chattels displayed at the Property on completion of the sale and purchase",
