pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2018-10-26,2018-11-02,,House H5,,,,46369000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-10-26,2018-11-02,,House H6,,,,46750000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-10-26,2018-11-02,,House H7,,,,45039000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-10-26,2018-11-02,,2,5/F & 6/F,Duplex A,,82688000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目兩個車位認購權利 Right to purchase 2 car parks in the Development (見備註7(vi)/ See Remarks 7(vi)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-10-31,2018-11-07,2019-05-06,House H3,,,,50741000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-10-31,2018-11-07,,3,3,B,,54860000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計60天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計180天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 60 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 180 days after the vendor’s signing of the preliminary agreement -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-11-05,2018-11-09,,House H10,,,,47493000,"在13-12-2018, 買賣雙方達成協議更 改支付條款及更正售 價為 $46,110,000 On 13-12-2018, the parties agreed to revise the terms of payment and adjust the purchase price to $46,110,000","樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement. -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-11-05,2018-11-12,,House 3,,,173 & 175,174059700,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-11-07,2018-11-13,,House H2,,,,51237000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-11-09,2018-11-16,,House H8,,,,46867500,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
