pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2020-10-31,2020-11-04,,1,7,D,,12723000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-05,,1,7,E,,8296000,,價單第3A號/Price List No. 3A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n),
2020-10-31,2020-11-06,,1,7,F,,7951000,,價單第3A號/Price List No. 3A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n),
2020-10-31,2020-11-06,,1,8,D,,12795000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-05,,1,8,E,,8554000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,1,8,F,,8198000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,1,9,D,,12868000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-06,,1,9,E,,8601000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,1,9,F,,8245000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,1,10,D,,12940000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-06,,1,10,E,,8651000,"在02-11-2020,基於 法例第35(2)(b)條所 容許的原因,售價更 改為$8,437,000 On 02-11-2020, the price adjusted to $8,437,000 due to the reason allowed under section 35(2)(b) of the Ordinance","價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 在02-11-2020,支付條款更改為 On 02-11-2020, the terms of payment adjusted to 價單第3A號/Price List No. 3A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n)",
2020-10-31,2020-11-06,,1,10,F,,8087000,,價單第3A號/Price List No. 3A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n),
2020-10-31,2020-11-06,,1,11,D,,12533000,,價單第3A號/Price List No. 3A 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-06,,1,11,E,,8702000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,1,11,F,,8341000,,價單第3A號/Price List No. 3A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,2,2,A,,22790000,,價單第3A號/Price List No. 3A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-06,,2,2,F,,7726000,,價單第1A號/Price List No. 1A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n),
2020-10-31,2020-11-06,,2,3,D,,15012000,,價單第1A號/Price List No. 1A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(j)/See Remark 7(j) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p) 價單第1A號/Price List No. 1A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(i)/See Remark 7(i) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,,,2,3,E,,8105000,,價單第1A號/Price List No. 1A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n),
2020-10-31,2020-11-06,,2,3,F,,7770000,,價單第1A號/Price List No. 1A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n),
2020-10-31,2020-11-04,,2,5,D,,12424000,,價單第1A號/Price List No. 1A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-05,,2,5,E,,8046000,,價單第1A號/Price List No. 1A 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,2,5,F,,8012000,,價單第1A號/Price List No. 1A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,2,6,B,,18862000,,價單第1A號/Price List No. 1A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-05,,2,6,D,,12794000,,價單第2A號/Price List No. 2A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-05,,2,6,E,,8287000,,價單第2A號/Price List No. 2A 見備註7(c)(ii)/See Remark 7(c)(ii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(f)/See Remark 7(f) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,2,6,F,,8251000,,價單第2A號/Price List No. 2A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,2024-04-16,2,7,D,,12885000,,價單第1A號/Price List No. 1A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-06,,2,7,E,,8244000,,價單第1A號/Price List No. 1A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n),
2020-10-31,2020-11-06,,2,7,F,,8105000,,價單第1A號/Price List No. 1A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o),
2020-10-31,2020-11-06,,2,8,A,,23518000,,價單第1A號/Price List No. 1A 見備註7(c)(iii)/See Remark 7(c)(iii) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(g)/See Remark 7(g) 見備註7(h)/See Remark 7(h) 見備註7(o)/See Remark 7(o) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-06,,2,8,B,,18879000,,價單第1A號/Price List No. 1A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n) 見備註7(p)/See Remark 7(p),
2020-10-31,2020-11-06,,2,8,C,,23183000,,價單第1A號/Price List No. 1A 見備註7(c)(i)/See Remark 7(c)(i) 見備註7(d)/See Remark 7(d) 見備註7(e)/See Remark 7(e) 見備註7(m)/See Remark 7(m) 見備註7(n)/See Remark 7(n) 見備註7(p)/See Remark 7(p),
